Item Number,List Price,Cost Column 1 Price,Item Weight,UPS Indicator
RCP1856059CT,26.10,10.58,2.000,Y
RCP1857378,17.85,6.41,1.100,Y
RCP1857391,17.85,7.42,1.100,Y
RCP1857866,70.89,38.55,7.500,N
RCP1861076CT,216.32,85.65,8.600,Y
RCP1861078CT,281.42,121.04,8.600,Y
RCP1861212CT,392.46,168.80,30.000,Y
RCP1861427,1369.95,475.18,70.000,Y
RCP1861428,803.03,345.39,1.000,Y
RCP1861429,694.31,249.27,50.600,Y
RCP1861430,535.30,222.33,49.500,Y
RCP1861441,803.03,345.39,59.000,Y
RCP1861442CT,242.61,96.06,3.460,Y
RCP1863882,35.68,20.93,1.000,Y
RCP1863883,23.07,8.82,1.000,Y
RCP1863884,307.21,110.27,1.000,Y
RCP1863885,323.66,110.27,1.000,Y
RCP1863886,139.02,48.13,3.000,Y
RCP1863887,216.22,74.86,2.800,Y
RCP1863888,40.18,14.46,1.000,Y
RCP1863889,66.21,23.60,0.100,Y
RCP1863890,40.18,14.46,0.490,Y
RCP1863891,66.00,22.80,1.780,Y
RCP1863892,194.67,45.23,1.000,Y
RCP1863893,50.47,18.11,1.000,Y
RCP1863894,70.53,25.32,1.000,Y
RCP1863895,276.77,98.89,2.600,Y
RCP1863896,288.33,103.51,22.394,Y
RCP1863897,288.33,117.04,22.400,Y
RCP1863898,343.11,122.59,23.555,Y
RCP1863899,343.11,142.50,23.400,Y
RCP1863900CT,310.62,122.99,14.600,Y
RCP1863903CT,505.55,217.44,17.012,Y
RCP1867396CT,467.79,167.94,4.000,Y
RCP1867397CT,193.81,69.26,2.000,Y
RCP1867398,129.09,46.38,1.000,Y
RCP1867505,32.30,12.36,1.950,Y
RCP1867506CT,193.81,85.64,14.070,Y
RCP1867507,355.23,127.51,15.600,Y
RCP1867508,355.23,127.51,15.600,Y
RCP1867509,85.07,30.38,5.200,Y
RCP1867510CT,526.87,219.40,32.860,Y
RCP1867531CT,414.18,176.61,49.450,N
