id,sku,cat1,cat2,cat3,cat4,cat5,cat6,cat7
2013,RCP9T90,Default Category,Material Handling,Cart Accessories,,,,
2014,RCP9T9101BLA,Default Category,Material Handling,Housekeeping Carts,,,,
2015,RCP9T92BLA,Default Category,Material Handling,Janitor Carts,,,,
2016,RCP9T9301,Default Category,Material Handling,Cart Accessories,Janitor Carts,,,
2017,RCP9T94BLA,Default Category,Material Handling,Housekeeping Carts,,,,
2018,RCP9VBPEF06,Default Category,Cleaning,Floor & Carpet Care,Vacuum  Accessories,,,
2019,RCP9VBPHP06,Default Category,Cleaning,Floor & Carpet Care,Vacuum  Accessories,,,
2020,RCP9VBPPB06,Default Category,Cleaning,Floor & Carpet Care,Vacuum  Accessories,,,
2021,RCP9VCVBA12,Default Category,Cleaning,Floor & Carpet Care,Vacuum  Accessories,,,
2022,RCP9VCVBE12,Default Category,Cleaning,Floor & Carpet Care,Vacuum  Accessories,,,
2023,RCP9VCVPB12,Default Category,Cleaning,Floor & Carpet Care,Vacuum  Accessories,,,
2024,RCP9VDVPN4400,Default Category,Cleaning,Floor & Carpet Care,Vacuums,,,
2025,RCP9VDVRC4400,Default Category,Waste,Waste Receptacle Accessories,,,,
2026,RCP9VMHBA12,Default Category,Cleaning,Floor & Carpet Care,Vacuum  Accessories,,,
2027,RCP9VMHEF12,Default Category,Cleaning,Floor & Carpet Care,Vacuum  Accessories,,,
2028,RCP9VPHEF12,Default Category,Cleaning,Floor & Carpet Care,Vacuum  Accessories,,,
2029,RCP9VULPB12,Default Category,Cleaning,Floor & Carpet Care,Vacuum  Accessories,,,
2030,RCP9W1088GRA,Default Category,Waste,Outdoor Waste Receptacles,Brute Containers,,,
2031,RCP9W15GRA,Default Category,Waste,Indoor Waste Receptacles,Slim Jim Containers,,,
2032,RCP9W16GRA,Default Category,Waste,Indoor Waste Receptacles,Confidential Document Containers,Slim Jim Containers,Waste Receptacles Lids,
2033,RCP9W17PLA,Default Category,Waste,Indoor Waste Receptacles,Confidential Document Containers,,,
2034,RCP9W2173BLU,Default Category,Waste,Indoor Waste Receptacles,Brute Containers,Outdoor Waste Receptacles,Brute Containers,
2035,RCP9W21GRA,Default Category,Waste,Indoor Waste Receptacles,Brute Containers,Outdoor Waste Receptacles,Brute Containers,
2036,RCP9W22GRA,Default Category,Waste,Outdoor Waste Receptacles,Brute Containers,,,
2037,RCP9W2273BLU,Default Category,Waste,Recycling Containers,,,,
2038,RCP9W25GRA,Default Category,Waste,Indoor Waste Receptacles,Slim Jim Containers,,,
2039,RCP9W27BLU,Default Category,Waste,Indoor Waste Receptacles,Brute Containers,Outdoor Waste Receptacles,Brute Containers,
2040,RCP9W27GRA,Default Category,Waste,Indoor Waste Receptacles,Brute Containers,Outdoor Waste Receptacles,Brute Containers,
2041,RCP9W27YEL,Default Category,Waste,Indoor Waste Receptacles,Brute Containers,Outdoor Waste Receptacles,Brute Containers,
2042,RCP9W2773BLU,Default Category,Waste,Outdoor Waste Receptacles,Brute Containers,Recycling Containers,,
2043,RCP9W30BLA,Default Category,Waste,Smoking Receptacles,,,,
2044,RCP9W30SST,Default Category,Waste,Smoking Receptacles,,,,
2045,RCP9W31BLA,Default Category,Waste,Smoking Receptacles,,,,
2046,RCP9W32BLA,Default Category,Waste,Smoking Receptacles,,,,
2047,RCP9W33BLA,Default Category,Waste,Smoking Receptacles,,,,
2048,RCP9W72,Default Category,Waste,Indoor Waste Receptacles,Brute Containers,Outdoor Waste Receptacles,Brute Containers,Waste Receptacles Lids
2049,RCP9W73BLA,Default Category,Waste,Indoor Waste Receptacles,Brute Containers,Outdoor Waste Receptacles,Brute Containers,
2050,RCP9W87YEL,Default Category,Waste,Waste Receptacle Accessories,,,,
2051,RCPA111WHI,Default Category,Cleaning,Mops & Equipment,Mop Heads,,,
2052,RCPA112BLU,Default Category,Cleaning,Mops & Equipment,Mop Heads,,,
2053,RCPA112ORA,Default Category,Cleaning,Mops & Equipment,Mop Heads,,,
2054,RCPA112GRE,Default Category,Cleaning,Mops & Equipment,Mop Heads,,,
2055,RCPA112WHI,Default Category,Cleaning,Mops & Equipment,Mop Heads,,,
2056,RCPA113BLU,Default Category,Cleaning,Mops & Equipment,Mop Heads,,,
2057,RCPA113WHI,Default Category,Cleaning,Mops & Equipment,Mop Heads,,,
2058,RCPA151WHI,Default Category,Cleaning,Mops & Equipment,Mop Heads,,,
2059,RCPA152BLU,Default Category,Cleaning,Mops & Equipment,Mop Heads,,,
2060,RCPA152GRE,Default Category,Cleaning,Mops & Equipment,Mop Heads,,,
2061,RCPA152WHI,Default Category,Cleaning,Mops & Equipment,Mop Heads,,,
2062,RCPA153ORA,Default Category,Cleaning,Mops & Equipment,Mop Heads,,,
2063,RCPA153WHI,Default Category,Cleaning,Mops & Equipment,Mop Heads,,,
2064,RCPA153BLU,Default Category,Cleaning,Mops & Equipment,Mop Heads,,,
2065,RCPA17SUBKPL,Default Category,Waste,Smoking Receptacles,,,,
2066,RCPA211WHI,Default Category,Cleaning,Mops & Equipment,Mop Heads,,,
2067,RCPA212WHI,Default Category,Cleaning,Mops & Equipment,Mop Heads,,,
2068,RCPA212GRE,Default Category,Cleaning,Mops & Equipment,Mop Heads,,,
2069,RCPA212BLU,Default Category,Cleaning,Mops & Equipment,Mop Heads,,,
2070,RCPA213WHI,Default Category,Cleaning,Mops & Equipment,Mop Heads,,,
2071,RCPA251BLU,Default Category,Cleaning,Mops & Equipment,Mop Heads,,,
2072,RCPA251GRE,Default Category,Cleaning,Mops & Equipment,Mop Heads,,,
2073,RCPA251WHI,Default Category,Cleaning,Mops & Equipment,Mop Heads,,,
2074,RCPA252WHI,Default Category,Cleaning,Mops & Equipment,Mop Heads,,,
2075,RCPA252BLU,Default Category,Cleaning,Mops & Equipment,Mop Heads,,,
2076,RCPA252GRE,Default Category,Cleaning,Mops & Equipment,Mop Heads,,,
2077,RCPA252ORA,Default Category,Cleaning,Mops & Equipment,Mop Heads,,,
2078,RCPA253GRE,Default Category,Cleaning,Mops & Equipment,Mop Heads,,,
2079,RCPA253WHI,Default Category,Cleaning,Mops & Equipment,Mop Heads,,,
2080,RCPA253BLU,Default Category,Cleaning,Mops & Equipment,Mop Heads,,,
2081,RCPA412,Default Category,Cleaning,Mops & Equipment,Finish Mops & Applicators,,,
2082,RCPA413,Default Category,Cleaning,Mops & Equipment,Finish Mops & Applicators,,,
2083,RCPA81206GRE,Default Category,Cleaning,Mops & Equipment,Mop Heads,,,
2084,RCPA85206GRE,Default Category,Cleaning,Mops & Equipment,Mop Heads,,,
2085,RCPAOT35SA,Default Category,Waste,Indoor Waste Receptacles,Metal Receptacles,,,
2086,RCPAOT35SAPL,Default Category,Waste,Indoor Waste Receptacles,Metal Receptacles,,,
2087,RCPR12SU201PL,Default Category,Waste,Smoking Receptacles,,,,
2088,RCPB25,Default Category,Waste,Smoking Receptacles,,,,
2089,RCPBP1,Default Category,Waste,Waste Receptacle Accessories,,,,
2090,RCPC112WHI,Default Category,Cleaning,Mops & Equipment,Mop Heads,,,
2091,RCPC112BLU,Default Category,Cleaning,Mops & Equipment,Mop Heads,,,
2092,RCPC113BLU,Default Category,Cleaning,Mops & Equipment,Mop Heads,,,
2093,RCPC113WHI,Default Category,Cleaning,Mops & Equipment,Mop Heads,,,
2094,RCPC151BLU,Default Category,Cleaning,Mops & Equipment,Mop Heads,,,
2095,RCPC152BLU,Default Category,Cleaning,Mops & Equipment,Mop Heads,,,
2096,RCPC152GRE,Default Category,Cleaning,Mops & Equipment,Mop Heads,,,
2097,RCPC152WHI,Default Category,Cleaning,Mops & Equipment,Mop Heads,,,
2098,RCPC153BLU,Default Category,Cleaning,Mops & Equipment,Mop Heads,,,
2099,RCPC153WHI,Default Category,Cleaning,Mops & Equipment,Mop Heads,,,
2100,RCPC153GRE,Default Category,Cleaning,Mops & Equipment,Mop Heads,,,
2101,RCPC154BLU,Default Category,Cleaning,Mops & Equipment,Mop Heads,,,
2102,RCPC252BLU,Default Category,Cleaning,Mops & Equipment,Mop Heads,,,
2103,RCPCC16MCGL,Default Category,Waste,Indoor Waste Receptacles,Metal Receptacles,,,
2104,RCPCC16SSS,Default Category,Waste,Indoor Waste Receptacles,Metal Receptacles,,,
2105,RCPCL1,Default Category,Waste,Labels,,,,
2106,RCPCL3,Default Category,Waste,Labels,,,,
2107,RCPD111,Default Category,Cleaning,Mops & Equipment,Mop Heads,,,
2108,RCPD113,Default Category,Cleaning,Mops & Equipment,Mop Heads,,,
2109,RCPD153,Default Category,Cleaning,Mops & Equipment,Mop Heads,,,
