Item Number,Manufacturer Long Name,List Price,Item Weight
RCP1793963CT,,443.52,56.200
RCP1799152,RUBBERMAID COMMERCIAL PROD.,7.71,0.300
RCP1805727,RUBBERMAID COMMERCIAL PROD.,749.95,22.060
RCP1805727PK,RUBBERMAID COMMERCIAL PROD.,60.53,1.920
RCP1805728,RUBBERMAID COMMERCIAL PROD.,749.95,22.060
RCP1805728PK,RUBBERMAID COMMERCIAL PROD.,60.53,1.920
RCP1805729,RUBBERMAID COMMERCIAL PROD.,749.95,22.060
RCP1805729PK,RUBBERMAID COMMERCIAL PROD.,60.53,1.920
RCP1805730,RUBBERMAID COMMERCIAL PROD.,749.95,22.060
RCP1805730PK,RUBBERMAID COMMERCIAL PROD.,60.53,1.920
RCP1807914,RUBBERMAID COMMERCIAL PROD.,193.54,1.000
RCP1809375,RUBBERMAID COMMERCIAL PROD.,83.88,3.400
RCP1818967,,1299.36,1.000
RCP1818968,,1306.80,7.600
RCP1820577,,40.18,18.600
RCP1820578,RUBBERMAID COMMERCIAL PROD.,40.18,1.550
RCP1820579,RUBBERMAID COMMERCIAL PROD.,41.37,1.550
RCP1820580,RUBBERMAID COMMERCIAL PROD.,40.18,0.111
RCP1820581,RUBBERMAID COMMERCIAL PROD.,66.21,2.650
RCP1820582,RUBBERMAID COMMERCIAL PROD.,66.21,1.750
RCP1820583,RUBBERMAID COMMERCIAL PROD.,66.21,1.750
RCP1820584,RUBBERMAID COMMERCIAL PROD.,66.21,1.750
RCP1822350,RUBBERMAID COMMERCIAL PROD.,120.35,1.000
RCP1822351,RUBBERMAID COMMERCIAL PROD.,70.71,3.380
RCP1822352,RUBBERMAID COMMERCIAL PROD.,282.88,6.040
RCP1829397,RUBBERMAID COMMERCIAL PROD.,196.35,11.100
RCP1829398,,196.35,7.300
RCP1829399,,196.35,7.300
RCP1829400CT,,334.18,12.500
RCP1829406CT,,343.35,29.352
RCP1829411CT,,596.69,43.600
RCP1829414,,227.68,8.000
RCP1829417,,265.92,1.000
RCP1829TSAPLBK,,1680.35,64.000
RCP1834838,RUBBERMAID COMMERCIAL PROD.,193.09,13.000
RCP1834839,RUBBERMAID COMMERCIAL PROD.,202.85,13.000
RCP1834840,RUBBERMAID COMMERCIAL PROD.,204.38,1.000
RCP1835528,RUBBERMAID COMMERCIAL PROD.,307.21,5.700
RCP1835529,RUBBERMAID COMMERCIAL PROD.,307.21,3.940
RCP1838235CT,RUBBERMAID,149.28,17.600
RCP1840999,RUBBERMAID COMMERCIAL PROD.,107.20,19.250
RCP1841000,,67.47,1.000
RCP1853499,RUBBERMAID COMMERCIAL PROD.,70.89,7.500
RCP1853509,RUBBERMAID COMMERCIAL PROD.,70.89,7.500
RCP1853632,RUBBERMAID COMMERCIAL PROD.,70.89,7.500
RCP1853634,RUBBERMAID COMMERCIAL PROD.,70.89,7.500
RCP1853640,RUBBERMAID COMMERCIAL PROD.,70.89,7.500
RCP1853645,RUBBERMAID COMMERCIAL PROD.,70.89,7.500
RCP1855312CT,,218.39,4.600
RCP1855BLA,RUBBERMAID COMMERCIAL PROD.,313.82,13.397
RCP1855GRE,RUBBERMAID COMMERCIAL PROD.,313.82,12.000
